"gvkey","tic","conm","allocation"
137310,"MRVL","MARVELL TECHNOLOGY GROUP LTD",83333.3333333333
15520,"SIG","SIGNET JEWELERS LTD",83333.3333333333
1562,"AMSWA","AMERICAN SOFTWARE  -CL A",83333.3333333333
28084,"COUP","COUPA SOFTWARE INC",83333.3333333333
7138,"MAYS","MAYS (J.W.) INC",83333.3333333333
2818,"CATO","CATO CORP  -CL A",83333.3333333333
2829,"RFIL","R F INDUSTRIES LTD",83333.3333333333
9599,"SMTC","SEMTECH CORP",83333.3333333333
30736,"OKTA","OKTA INC",83333.3333333333
33232,"ZUO","ZUORA INC",83333.3333333333
34055,"KLXE","KLX ENERGY SERVS HLDNG",83333.3333333333
26746,"NTNX","NUTANIX INC",83333.3333333333
